	# Exclude Always? #	# Exclude while testing	#  Exclude CTB #	#  Exclude Mov #	#  Exclude BBF/OTB #	BRO REF with Options	CLOSING TB This Yr Dr/-Cr	CLOSING TB Last Yr Dr/-Cr
						Tx5469	Tx5469 AAAAA Limited 	
							Agent Braiins Limited	
							Date 2012.07.24	
							ImportType:Replace	
						Tx5470	No	
						Tx5492	Yes	
						Tx5600	87654321	
						Tx5589	2009.01.01	
						Tx5460	2009.12.31	
						Tx4907	-16,613,551 	-19,195,013
						Tx2409:Countries.UK	-16,509,371 	-18,012,026
						Tx2409:Countries.Europe	-81,856 	-13,084
						Tx2409:Countries.NorthAmerica	0 	-878,597
						Tx2409:Countries.OtherRegions	-22,324 	-291,306
	#							
						Tx2727:ExpenseType.CoS	34,294 	-182,290
						Tx2744:ExpenseType.CoS	181,210 	-2,227,691
						Tx2688:ExpenseType.CoS	221 	-836
			#	#	#	Tx4551:ExpenseType.CoS	182,290 	0
			#	#	#	Tx5092:ExpenseType.CoS	2,227,691 	0
			#	#	#	Tx2120:ExpenseType.CoS	836 	0
						Tx4107:ExpenseType.CoS	8,826,243 	14,067,849
			#	#	#	Tx4551:ExpenseType.CoS	-147,996 	-182,290
			#	#	#	Tx5092:ExpenseType.CoS	-2,046,481 	-2,227,691
			#	#	#	Tx2120:ExpenseType.CoS	-615 	-836
						Tx5061:ExpenseType.CoS	3,824,051 	3,878,057
						Tx1851:ExpenseType.CoS	377,842 	410,836
						Tx4482:ExpenseType.CoS	138,676 	144,565
						Tx178:ExpenseType.CoS:IFAClasses.DevelopmentCosts	40,140 	40,000
						Tx1268:ExpenseType.CoS:TFAClasses.Buildings:TFAOwnership.OwnedOrFreehold	18,403 	18,000
						Tx1268:ExpenseType.CoS:TFAClasses.VehiclesPlantMachinery:TFAOwnership.OwnedOrFreehold	179,077 	143,176
						Tx1268:ExpenseType.CoS:TFAClasses.VehiclesPlantMachinery:TFAOwnership.Leased	167,234 	202,824
						Tx1268:ExpenseType.CoS:TFAClasses.FixturesFittingsToolsEquipment:TFAOwnership.OwnedOrFreehold	31,988 	30,000
	#							
						Tx3721:ExpenseType.Distrib	3,771 	87,955
						Tx5061:ExpenseType.Distrib	169,160 	128,161
						Tx1851:ExpenseType.Distrib	16,714 	13,577
						Tx4482:ExpenseType.Distrib	6,135 	4,778
						Tx1268:ExpenseType.Distrib:TFAClasses.Buildings:TFAOwnership.OwnedOrFreehold	3,000 	3,000
						Tx1268:ExpenseType.Distrib:TFAClasses.VehiclesPlantMachinery:TFAOwnership.OwnedOrFreehold	20,000 	20,000
						Tx1268:ExpenseType.Distrib:TFAClasses.FixturesFittingsToolsEquipment:TFAOwnership.OwnedOrFreehold	3,000 	3,000
	#							
						Tx4625:ExpenseType.Admin	327,152 	467,163
						Tx5061:ExpenseType.Admin	184,539 	170,881
						Tx1851:ExpenseType.Admin	18,233 	18,103
						Tx4482:ExpenseType.Admin	6,692 	6,370
						DirectorsSalariesDetPL:ExpenseType.Admin	240,321 	267,040
						Tx1681:ExpenseType.Admin	47,956 	79,600
						Tx5284:TPAType.Auditors	16,500 	16,500
						Tx2480:ExpenseType.Admin	6,922 	10,445
						Tx1268:ExpenseType.Admin:TFAClasses.Buildings:TFAOwnership.OwnedOrFreehold	2,000 	2,000
						Tx1268:ExpenseType.Admin:TFAClasses.VehiclesPlantMachinery:TFAOwnership.OwnedOrFreehold	10,000 	10,000
						Tx1268:ExpenseType.Admin:TFAClasses.FixturesFittingsToolsEquipment:TFAOwnership.OwnedOrFreehold	12,000 	12,000
						Tx2272	-9,596 	-2,108
						FinanceIncNetRecOther:Function.NonOp	-372 	-1,876
						BankOverdraftCharges:Function.NonOp	23,386 	49,178
						FinLeaseCharges:Function.NonOp	57,763 	67,998
						Tx4920	303,243 	104,037
						Tx2739	-209,529 	30,830
						Tx2456	135,798 	249,611
						Tx2741	-24,878 	-35,114
						Tx2750	7,788 	-12,191
						Tx2815:IFAClasses.DevelopmentCosts:start	415,682 	415,682
						Tx2804:IFAClasses.DevelopmentCosts	82,565 	0
						Tx2805:IFAClasses.DevelopmentCosts:start	-51,724 	-11,724
						Tx2806:IFAClasses.DevelopmentCosts	-40,140 	-40,000
						Tx4654:TFAClasses.Buildings:TFAOwnership.OwnedOrFreehold:start	2,067,544 	2,067,544
						Tx4653:TFAClasses.Buildings:TFAOwnership.OwnedOrFreehold	0 	0
						Tx4664:TFAClasses.Buildings:TFAOwnership.OwnedOrFreehold	0 	0
						Tx4655:TFAClasses.Buildings:TFAOwnership.OwnedOrFreehold:start	-72,887 	-49,887
						Tx4656:TFAClasses.Buildings:TFAOwnership.OwnedOrFreehold	-23,403 	-23,000
						Tx4658:TFAClasses.Buildings:TFAOwnership.OwnedOrFreehold	0 	0
			#	#	#	Tx4654:TFAClasses.VehiclesPlantMachinery:start	9,374,695 	9,374,695
						Tx4654:TFAClasses.VehiclesPlantMachinery:TFAOwnership.OwnedOrFreehold:start	3,374,695 	3,374,695
						Tx4654:TFAClasses.VehiclesPlantMachinery:TFAOwnership.Leased:start	6,000,000 	6,000,000
			#	#	#	Tx4653:TFAClasses.VehiclesPlantMachinery	172,975 	
						Tx4653:TFAClasses.VehiclesPlantMachinery:TFAOwnership.OwnedOrFreehold	147,179 	
						Tx4653:TFAClasses.VehiclesPlantMachinery:TFAOwnership.Leased	25,796 	
						Tx4664:TFAClasses.VehiclesPlantMachinery:TFAOwnership.OwnedOrFreehold	-52 	0
			#	#	#	Tx4655:TFAClasses.VehiclesPlantMachinery:start	-7,678,365 	-7,302,365
						Tx4655:TFAClasses.VehiclesPlantMachinery:TFAOwnership.OwnedOrFreehold:start	-2,795,036 	-2,619,036
