Id	Type	Level	Bro Name	Name 0	N 1	N 2	N 3	N 4	N 5	BD	Tx Id	Data Type	Sign	Acct Types	Post Type	RO	Hy Id	Excl Dims	Incl Dims	DiMeId	Except	Amort	Sum Up	Totalling	Sum To	Related	StartEnd	Context	Zones	Order	Descr	Comment	I Tx Std Label	I Allowable Dims	I Man Dim	I Prop Dim	I Tuples	I Tag	I Tx Type	I Tx Period	I StartEnd Bros	I Tx Sign	I Tx Hys
1	Set	0	Info	Info						 		None		Info												 		 						 									
2	Ele	1	  Info.EntityName	Info	EntityName					 	5469	String		Info			1	44								 		Period					Entity current legal or registered name	"1,3"				uk-bus:EntityCurrentLegalOrRegisteredName	String	Duration			1
3	Ele	1	  Info.RegistrationNumber	Info	RegistrationNumber					 	5600	String		Info			1	44								 		Period					UK Companies House registered number	"1,3"				uk-bus:UKCompaniesHouseRegisteredNumber	String	Duration			1
4	Ele	1	  Info.IncorporationCountry	Info	IncorporationCountry					 	5376	String		Info			42									 		UkCountry					Country of formation or incorporation	"1,3,39"				uk-bus:CountryFormationOrIncorporation	Fixed	Duration			42
5	Ele	1	  Info.CompanySize	Info	CompanySize					 		Enum		Info			42									 		 						"1,3,39"									
6	Ele	1	  Info.Audited	Info	Audited					 		Boolean		Info			42									 		 						"1,3,39"									
7	Ele	1	  Info.Dormant	Info	Dormant					 	5470	Boolean		Info			42									 		Period					Entity is dormant	"1,3,39"				uk-bus:EntityDormant	Boolean	Duration			42
8	Ele	1	  Info.Trading	Info	Trading					 	5492	Boolean		Info			42									 		Period					Entity is trading	"1,3,39"				uk-bus:EntityTrading	Boolean	Duration			42
9	Ele	1	  Info.Admin	Info	Admin					 	5474	Boolean		Info			42									 		Period					Entity is in administration	"1,3,39"				uk-bus:EntityInAdministration	Boolean	Duration			42
10	Ele	1	  Info.Receivership	Info	Receivership					 	5478	Boolean		Info			42									 		Period					Entity is in receivership	"1,3,39"				uk-bus:EntityInReceivership	Boolean	Duration			42
11	Ele	1	  Info.Liquidation	Info	Liquidation					 	5477	Boolean		Info			42									 		Period					Entity is in liquidation	"1,3,39"				uk-bus:EntityInLiquidation	Boolean	Duration			42
12	Ele	1	  Info.CompulsoryLiquidation	Info	CompulsoryLiquidation					 	5475	Boolean		Info			42									 		Period					Entity is in compulsory liquidation	"1,3,39"				uk-bus:EntityInCompulsoryLiquidation	Boolean	Duration			42
13	Ele	1	  Info.VoluntaryLiquidation	Info	VoluntaryLiquidation					 	5479	Boolean		Info			42									 		Period					Entity is in voluntary liquidation	"1,3,39"				uk-bus:EntityInVoluntaryLiquidation	Boolean	Duration			42
14	Ele	1	  Info.InsolventLiquidation	Info	InsolventLiquidation					 	5476	Boolean		Info			42									 		Period					Entity is in insolvent liquidation	"1,3,39"				uk-bus:EntityInInsolventLiquidation	Boolean	Duration			42
15	Ele	1	  Info.UnderCoVoluntaryArrangement	Info	UnderCoVoluntaryArrangement					 	5494	Boolean		Info			42									 		Period					Entity is under Company Voluntary Arrangement	"1,3,39"				uk-bus:EntityUnderCompanyVoluntaryArrangement	Boolean	Duration			42
16	Set	0	Dates	Dates						 		None		Info												 		 						 									
17	Ele	1	  Dates.YearStartDate	Dates	YearStartDate					 	5589	Date		Info			1	44								 	No	Period					Start date for period covered by report	"1,3"				uk-bus:StartDateForPeriodCoveredByReport	Date	Instant	No		1
18	Ele	1	  Dates.YearEndDate	Dates	YearEndDate					 	5460	Date		Info			1	44								 	No	Period					End date for period covered by report	"1,3"				uk-bus:EndDateForPeriodCoveredByReport	Date	Instant	No		1
19	Ele	1	  Dates.SigningDirectorsReport	Dates	SigningDirectorsReport					 	5139	Date		Info			1	44								 	No	Period					Date of signing of Directors' Report	"1,3"				uk-direp:DateSigningDirectorsReport	Date	Instant	No		1
20	Ele	1	  Dates.BS	Dates	BS					 	5356	Date		Info			1	44								 	No	Period					Balance sheet date	"1,3"				uk-bus:BalanceSheetDate	Date	Instant	No		1
21	Ele	1	  Dates.ApprovalAccounts	Dates	ApprovalAccounts					 	1141	Date		Info			1	44								 	No	Period					Date of approval of accounts	"1,3"				uk-gaap:DateApprovalAccounts	Date	Instant	No		1
22	Ele	1	  Dates.AuditorsReport	Dates	AuditorsReport					 	5294	Date		Info			41	"35,36,37,38,39,42"								 	No	Period					Date of auditor's report	"1,3,34"	M 34			uk-aurep:DateAuditorsReport	Date	Instant	No		41
23	Ele	1	  Dates.BusinessReportPublication	Dates	BusinessReportPublication					 	5363	Date		Info			1	44								 	No	Period					Business report publication date	"1,3"				uk-bus:BusinessReportPublicationDate	Date	Instant	No		1
24	Ele	1	  Dates.DescrPeriodCoveredByReport	Dates	DescrPeriodCoveredByReport					 	5393	String		Info			1	44								 		Period					Description of period covered by report	"1,3"				uk-bus:DescriptionPeriodCoveredByReport	ReportPeriod	Duration			1
25	Set	0	RegisteredOffice	RegisteredOffice						 		None		Info												 		 						 									
26	Ele	1	  RegisteredOffice.Properties	RegisteredOffice	Properties					 		Boolean		Info			40		"36,37"							 		 						"36,37"									
27	Ele	1	  RegisteredOffice.AddressLine1	RegisteredOffice	AddressLine1					 	5341	String		Info			40	"33,36,37,38"								 		RegOffice					Address line 1	"1,39,42"				uk-bus:AddressLine1	String	Duration			"40,41"
28	Ele	1	  RegisteredOffice.AddressLine2	RegisteredOffice	AddressLine2					 	5342	String		Info			40	"33,36,37,38"								 		RegOffice					Address line 2	"1,39,42"				uk-bus:AddressLine2	String	Duration			"40,41"
29	Ele	1	  RegisteredOffice.AddressLine3	RegisteredOffice	AddressLine3					 	5343	String		Info			40	"33,36,37,38"								 		RegOffice					Address line 3	"1,39,42"				uk-bus:AddressLine3	String	Duration			"40,41"
30	Ele	1	  RegisteredOffice.CityOrTown	RegisteredOffice	CityOrTown					 	5576	String		Info			40	"33,36,37,38"								 		RegOffice					Principal location - city or town	"1,39,42"				uk-bus:PrincipalLocation-CityOrTown	String	Duration			"40,41"
31	Ele	1	  RegisteredOffice.CountyRegion	RegisteredOffice	CountyRegion					 	5377	String		Info			40	"33,36,37,38"								 		RegOffice					County / Region	"1,39,42"				uk-bus:CountyRegion	String	Duration			"40,41"
32	Ele	1	  RegisteredOffice.PostCode	RegisteredOffice	PostCode					 	5568	String		Info			40	"33,36,37,38"								 		RegOffice					Postal Code / Zip	"1,39,42"				uk-bus:PostalCodeZip	String	Duration			"40,41"
33	Ele	1	  RegisteredOffice.EmailAddress	RegisteredOffice	EmailAddress					 	5457	String		Info			40	"33,36,37,38"								 		RegOffice					E-mail address	"1,39,42"				uk-bus:E-mailAddress	String	Duration			"40,41"
34	Ele	1	  RegisteredOffice.CountryCode	RegisteredOffice	CountryCode					 	5375	String		Info			40	"33,36,37,38"								 		RegOffice					Country code	"1,39,42"				uk-bus:CountryCode	String	Duration			"40,41"
35	Ele	1	  RegisteredOffice.AreaCode	RegisteredOffice	AreaCode					 	5355	String		Info			40	"33,36,37"								 		RegOffice					Area code	"1,38,39,42"				uk-bus:AreaCode	String	Duration			"40,41"
36	Ele	1	  RegisteredOffice.LocalNumber	RegisteredOffice	LocalNumber					 	5514	String		Info			40	"33,36,37"								 		RegOffice					Local number	"1,38,39,42"				uk-bus:LocalNumber	String	Duration			"40,41"
37	Ele	1	  RegisteredOffice.ExtensionNumber	RegisteredOffice	ExtensionNumber					 	5497	String		Info			40	"33,36,37"								 		RegOffice					Extension number	"1,38,39,42"				uk-bus:ExtensionNumber	String	Duration			"40,41"
38	Ele	1	  RegisteredOffice.NameMainContactPerson	RegisteredOffice	NameMainContactPerson					 	5525	String		Info			40	"33,36,37,38"								 		RegOffice					Name of main contact person	"1,39,42"				uk-bus:NameMainContactPerson	String	Duration			"40,41"
39	Ele	1	  RegisteredOffice.JobTitlePositionMainContactPerson	RegisteredOffice	JobTitlePositionMainContactPerson					 	5506	String		Info			40	"33,36,37,38"								 		RegOffice					Job title / position of main contact person	"1,39,42"				uk-bus:JobTitlePositionMainContactPerson	String	Duration			"40,41"
40	Ele	1	  RegisteredOffice.OtherInformationOnContactPersons	RegisteredOffice	OtherInformationOnContactPersons					 	5541	String		Info			40	"33,36,37,38"								 		RegOffice					Other information on contact persons	"1,39,42"				uk-bus:OtherInformationOnContactPersons	String	Duration			"40,41"
