Id	Standard Label	Hypercube	Type	Comments
65	Accruals disposed of with subsidiaries	33	Money	
66	Accrued expenses	29	Money	
100	Actuarial gain (loss) on individual pension scheme as percentage of scheme liabilities	27	Percent	
109	Adjusted EPS, after dilution	39	PerShare	
110	Adjusted EPS, before dilution	39	PerShare	
111	Adjusted number of shares after dilution	39	Share	
112	Adjusted number of shares after non-vested shares	39	Share	
113	Adjustment for higher (lower) tax rates on overseas earnings	1	Money	
114	Adjustment for higher (lower) tax rates on overseas earnings, impact on tax rate	1	Percent	
115	Adjustment for long accounting periods leading to an increase (decrease) in the tax charge	1	Money	
116	Adjustment for long accounting periods leading to an increase (decrease) in the tax charge, impact on tax rate	1	Percent	
117	Adjustment for prior periods leading to an increase (decrease) in the tax charge	1	Money	
118	Adjustment for prior periods leading to an increase (decrease) in the tax charge, impact on tax rate	1	Percent	
119	Adjustment in research and development tax credit leading to an increase (decrease) in the tax charge	1	Money	
120	Adjustment in research and development tax credit leading to an increase (decrease) in the tax charge, impact on tax rate	1	Percent	
121	Administration and support, average number of employees	1	Decimal	
122	Administration and support, number of employees at date	1	Decimal	
126	Advanced corporation tax written off (back)	1	Money	
135	Agency and management earnings (payments)	9	Money	
138	Aggregate dividends due at balance sheet date	1	Money	
139	Aggregate dividends paid in the financial year	1	Money	
140	Aggregate dividends proposed before date of approval of accounts and not otherwise disclosed	1	Money	
165	Amortisation of ancillary costs related to borrowing arrangements	13	Money	
166	Amortisation of deferred development expenditure	12	Money	
167	Amortisation of discounts or premiums relating to borrowings	13	Money	
175	Amortisation of intangible assets, administrative expenses	6	Money	
176	Amortisation of intangible assets, cost of sales	6	Money	
177	Amortisation of intangible assets, distribution costs	6	Money	
184	Amount of barter payments (receipts) for advertising	1	Money	
185	Amount of barter payments (receipts) including in turnover	1	Money	
186	Amount of borrowing exposed to interest rate changes	29	Money	
187	Amount of borrowing repayable within a set time	29	Money	
189	Amount by which tax on profit on ordinary activities is lower (higher) than tax calculated at standard UK rate	1	Money	
190	Amount by which tax rate on profit on ordinary activities is lower (higher) than standard UK tax rate	1	Percent	
193	Amount of debt covered by refinancing arrangement	1	Money	
195	Amount due from (to) related party	1	Money	
196	Amount of exceptional operating cost	11	Money	Have HyId 13 via Bro 800 but after subset elim HyId should be 11
197	Amount guaranteed	1	Money	
198	Amount of loan due after five years	1	Money	
200	Amount not recognised	1	Money	
214	Amount outstanding on guaranteed overdrafts of subsidiaries	1	Money	
215	Amount of particular consignment stock	13	Money	
216	Amount payable on redemption of convertible debt	1	Money	
217	Amount payable on winding up if different from book value of limited recourse debt	1	Money	
218	Amount payable on winding up if different from book value of obligation to pay	1	Money	
219	Amount payable on winding up if different from book value of other unusual debt	1	Money	
220	Amount payable on winding up if different from book value of subordinated debt	1	Money	
221	Amount received for debenture loan / loans issued in the period	1	Money	
225	Amount of specific bank loan	1	Money	
226	Amount that may be payable (recoverable)	1	Money	
227	Amount of transitional relief taken to income	1	Money	
228	Amount written off in period in respect of debt due from related party	1	Money	
229	Amounts due for social security and other taxes, current	29	Money	
233	Amounts due to related parties, trade and other payables	29	Money	
255	Amounts owed to group undertakings and participating interests after one year, subtotal	13	Money	
257	Amounts owed to group undertakings and participating interests within one year, subtotal	13	Money	
277	Amounts written off (back) investments	10	Money	
278	Amounts written off current asset investments	1	Money	
293	Assets (liabilities) by business segment free-text comment	1	String	
295	Assets (liabilities) by geography free-text comment	1	String	
343	Average capital employed	1	Money	Multi: TxId 343 &amp; HyId 1 needed
343	Average capital employed	17	Money	Multi: TxId 343 &amp; HyId 17 needed
343	Average capital employed	18	Money	Multi: TxId 343 &amp; HyId 18 needed
344	Average number of employees, analysis by specific department	1	Decimal	
346	Average number of employees during the period	11	Decimal	
347	Bad debts written off	9	Money	
352	Balance sheet adjustments free-text comment	1	String	
361	Bank borrowings	29	Money	
362	Bank borrowings and debentures	1	Money	
363	Bank borrowings and debentures after five years	1	Money	
364	Bank borrowings and debentures between one to two years	1	Money	
365	Bank borrowings and debentures between two to five years	1	Money	
366	Bank borrowings and debentures due after one year	1	Money	
367	Bank borrowings and debentures due within one year	1	Money	
369	Bank borrowings free-text comment	1	String	
370	Bank borrowings and overdrafts	29	Money	
371	Bank borrowings and overdrafts, secured	29	Money	
372	Bank borrowings and overdrafts, unsecured	29	Money	
374	Bank borrowings, secured	29	Money	
375	Bank borrowings, unsecured	29	Money	
379	Bank loans [grouping]		Tuple	
382	Bank overdrafts	29	Money	
385	Bank overdrafts disposed of with subsidiaries	33	Money	
388	Bank overdrafts free-text comment	1	String	
389	Bank overdrafts, secured	29	Money	
390	Bank overdrafts, unsecured	29	Money	
392	Barter payment (receipt) from specific transaction	1	Money	
395	Basic earnings (loss)	1	Money	
396	Basic earnings (loss) per share	39	PerShare	
398	Basic sales revenue	11	Money	Have HyId 13 via Bro 473 but after subset elim HyId should be 11
405	Basis on which standard tax rate has been determined	1	String	
431	Book profit on chargeable assets	1	Money	
432	Book profit on chargeable assets, impact on tax rate	1	Percent	
433	Book profit on non-taxable share issues	1	Money	
434	Book profit on non-taxable share issues, impact on tax rate	1	Percent	
436	Book value of debenture loan / loans held by nominees or trustees of the entity	1	Money	
437	Borrowing costs capitalised	1	Money	
439	Borrowings	29	Money	
440	Borrowings free-text comment	1	String	
493	Called up share capital not paid, not expressed as current asset	13	Money	
498	Capital allowances in excess of depreciation leading to a decrease (increase) in tax	1	Money	
499	Capital allowances in excess of depreciation leading to a decrease (increase) in taxation, impact on tax rate	1	Percent	
507	Capital gains	1	Money	
508	Capital gains, impact on tax rate	1	Percent	
509	Capital grant	1	Money	
513	Capital and reserves	12	Money	
515	Capitalisation of own reserves, decrease (increase) in total reserves	1	Money	
516	Capitalisation rate for capitalised borrowing costs	1	Percent	
527	Carrying amount of loan payable in default or breach	1	Money	
544	Cash disposed of with subsidiaries	33	Money	
584	Central profit (loss) on ordinary activities not attributed to a business segment	7	Money	
585	Central profit (loss) on ordinary activities not attributed to a geographic segment	7	Money	
590	Central / Unallocated assets, geographic segment analysis	1	Money	
591	Central / unallocated net assets (liabilities), excluding goodwill, business segment analysis	1	Money	
592	Central / unallocated net assets (liabilities), excluding goodwill, geographic segment analysis	1	Money	
593	Central / unallocated net assets (liabilities), geographic segment analysis	1	Money	
594	Central / unallocated net assets (liabilities), including goodwill, business segment analysis	1	Money	
595	Central / unallocated non-interest bearing net assets (liabilities), business segment analysis	1	Money	
596	Central / unallocated non-interest bearing net assets (liabilities), geographic segment analysis	1	Money	
597	Central / unallocated total assets, business segment analysis	1	Money	
615	Change in credit default swaps, derivatives assets, designated as cash flow hedges	30	Money	HyId 29 via Bro 2229 but not this HyId 30
854	Changes in provisions leading to an increase (decrease) in the tax charge	1	Money	
855	Changes in provisions leading to an increase (decrease) in the tax charge, impact on tax rate	1	Percent	
862	Charge in relation to equity reserve	1	Money	
864	Charge (release) per share of prior year provisions and tax credits on exceptional operating items, diluted	39	PerShare	
865	Charge (release) per share of prior year provisions and tax credits on exceptional operating items, undiluted	39	PerShare	
909	Committed facilities for refinancing [grouping]		Tuple	
923	Compound financial instruments with multiple embedded derivatives [grouping]		Tuple	
946	Conditional obligation to pay [grouping]		Tuple	
947	Conditional rollover relief [grouping]		Tuple	
948	Conditions to obtain rollover relief on gain on sale of asset which is expected to be rolled over into replacement assets	1	String	
952	Consignment stock [grouping]		Tuple	
953	Consignment stock held	13	Money	
954	Consignment stock included in balance sheet	13	Money	
958	Consolidation free-text comment	1	String	
973	Continuing and discontinued operations free-text comment	13	String	Have HyId 1 via Bro 80 but after subset elim HyId should be 13
978	Contract provisions	9	Money	
985	Contributions to pension scheme	27	Money	
986	Contributions to remuneration trust	9	Money	
988	Conversion of convertible debt, number of shares issuable	39	Share	
990	Conversion of exchangeable undated loan capital, increase (decrease) in total reserves	1	Money	
991	Conversion at option of issuer rather than holder	1	Boolean	
992	Conversion of preference shares, number of shares issuable	39	Share	
993	Convertible bond issues, equity component	1	Money	
994	Convertible bond issues [grouping]		Tuple	
996	Convertible bond issues, liability component on initial recognition	1	Money	
997	Convertible bond issues, original face value	1	Money	
